id_student,code_module,code_presentation,pass,avg_assignment_score,course_progress,course_views,resource_clicks
11391,AAA,2013J,1,82.0,83.33333333333334,159.9531978897669,71.73143368254073
28400,AAA,2013J,1,66.4,83.33333333333334,129.44437034764312,80.89664282907813
30268,AAA,2013J,0,0.0,0.0,0.0,5.398375177622825
31604,AAA,2013J,1,76.0,83.33333333333334,156.34030849772532,62.24947780650442
32885,AAA,2013J,1,54.4,83.33333333333334,88.20297308807694,80.39903670097176
38053,AAA,2013J,1,68.0,83.33333333333334,144.16227393466977,76.12922048142539
45462,AAA,2013J,1,68.0,83.33333333333334,129.06496213373092,74.61206835896655
45642,AAA,2013J,1,72.4,83.33333333333334,131.00331531646864,77.10731645361585
52130,AAA,2013J,1,71.4,83.33333333333334,153.23068848862874,89.41288587823615
53025,AAA,2013J,1,78.0,83.33333333333334,155.74841827233539,70.53560689949738
57506,AAA,2013J,1,74.0,83.33333333333334,153.13879258786113,72.54001038499287
58873,AAA,2013J,1,73.2,83.33333333333334,148.92636094599038,74.11141798393243
59185,AAA,2013J,1,78.6,83.33333333333334,166.95215582235775,71.81545583288528
62155,AAA,2013J,1,76.0,83.33333333333334,147.325336133343,78.31228925955043
63400,AAA,2013J,1,71.6,83.33333333333334,146.00404244946026,76.57662586296681
65002,AAA,2013J,0,67.0,66.66666666666666,122.88770634107955,55.23538693039356
70464,AAA,2013J,1,55.6,83.33333333333334,134.63509926743507,77.57814387292115
71361,AAA,2013J,1,80.4,83.33333333333334,186.06426015349956,76.74717615109377
74372,AAA,2013J,0,48.5,66.66666666666666,83.3171748615382,59.87937191805474
75091,AAA,2013J,1,66.0,83.33333333333334,134.10709619389706,77.67495046548507
77367,AAA,2013J,1,70.4,83.33333333333334,144.9266465326145,86.89203161839025
91265,AAA,2013J,1,70.8,83.33333333333334,154.49407763229755,77.79144593264908
94961,AAA,2013J,0,65.33333333333333,100.0,127.37806679775419,89.14560814944082
98094,AAA,2013J,1,60.6,83.33333333333334,124.4268599476697,70.71835258404926
100893,AAA,2013J,1,68.4,83.33333333333334,125.40046921249015,76.91712800329199
101781,AAA,2013J,1,72.6,83.33333333333334,145.38025161340758,69.87568209501123
102806,AAA,2013J,1,78.0,83.33333333333334,180.56418413533635,71.34290958303787
102952,AAA,2013J,1,76.6,83.33333333333334,146.55179555577882,70.52421235682527
104476,AAA,2013J,1,79.6,83.33333333333334,159.24608750855552,82.64034460478541
106247,AAA,2013J,0,60.0,50.0,112.27031308177304,45.49304716957846
106577,AAA,2013J,1,53.4,83.33333333333334,119.76725254243217,71.53015043994334
110175,AAA,2013J,1,63.4,83.33333333333334,151.80311848366708,76.20566382214069
111717,AAA,2013J,1,81.0,50.0,145.7840865119866,41.299336644135565
113295,AAA,2013J,1,77.6,83.33333333333334,123.29961876329219,83.98120090767188
114017,AAA,2013J,1,71.8,83.33333333333334,139.91180690780988,73.15779812276632
114999,AAA,2013J,1,72.8,83.33333333333334,133.6722029612879,73.93893069417769
116541,AAA,2013J,1,62.4,83.33333333333334,117.66538520757946,81.37491884771568
116692,AAA,2013J,1,74.2,83.33333333333334,149.1958117223953,65.70092725319203
118983,AAA,2013J,1,61.8,83.33333333333334,126.15455596790031,74.852713016522
123044,AAA,2013J,1,71.4,83.33333333333334,139.1851062757942,67.36642131228002
127582,AAA,2013J,1,69.6,83.33333333333334,143.63184301019928,73.98210842273251
129955,AAA,2013J,0,81.0,100.0,179.85339229507477,86.76865588700274
132976,AAA,2013J,1,67.4,83.33333333333334,137.35389791269517,71.23240551767692
134143,AAA,2013J,1,84.4,83.33333333333334,164.54159511423697,67.4199506858201
135335,AAA,2013J,0,0.0,0.0,0.0,0.0
135400,AAA,2013J,0,53.142857142857146,100.0,95.0724148696826,110.96960134352507
137873,AAA,2013J,1,80.2,83.33333333333334,143.46507718202614,79.47645815571916
141355,AAA,2013J,1,72.6,83.33333333333334,145.92703540836263,83.48137129501478
141377,AAA,2013J,0,48.833333333333336,100.0,107.74153068199877,90.05635968773662
142326,AAA,2013J,1,73.6,83.33333333333334,142.8590900750214,80.2209660336346
144801,AAA,2013J,1,68.8,83.33333333333334,132.9174682943964,74.01208533523132
145130,AAA,2013J,1,54.4,83.33333333333334,114.46520452076015,74.2337185735217
146188,AAA,2013J,0,50.0,83.33333333333334,92.98736346153913,74.64182923874334
147756,AAA,2013J,0,68.66666666666667,100.0,131.40181986870348,133.45074326759206
147793,AAA,2013J,0,52.0,16.666666666666664,102.77043794916077,20.223494123710836
148993,AAA,2013J,0,79.5,100.0,148.83897675177326,117.433996179172
151358,AAA,2013J,1,50.0,83.33333333333334,108.99406119676324,73.4676454171405
155550,AAA,2013J,1,67.0,83.33333333333334,135.13422259492975,72.0644766025104
155854,AAA,2013J,1,79.8,83.33333333333334,153.02343795816694,75.51952535270905
155984,AAA,2013J,0,78.14285714285714,100.0,144.35967689040825,104.42317194400091
157568,AAA,2013J,1,70.6,83.33333333333334,149.36617179880852,76.13352740580748
159954,AAA,2013J,0,68.2,83.33333333333334,118.22652245867303,80.07583624747798
164259,AAA,2013J,1,71.8,83.33333333333334,139.58074408408478,82.01706264798534
